grid_id,point_order,lon,lat,average_luminosity,average_windspeed
1422,3,-4.611457353349975,55.783334607145456,8.62,16.387
1422,4,-4.613557718358793,55.783334607145456,8.62,16.387
1423,1,-4.611457353349974,55.781234242136634,8.718,16.343
1423,2,-4.609356988341156,55.781234242136634,8.718,16.343
1423,3,-4.609356988341156,55.783334607145456,8.718,16.343
1423,4,-4.611457353349974,55.783334607145456,8.718,16.343
1424,1,-4.609356988341156,55.781234242136634,8.839,16.206
1424,2,-4.607256623332337,55.781234242136634,8.839,16.206
1424,3,-4.607256623332337,55.783334607145456,8.839,16.206
1424,4,-4.609356988341156,55.783334607145456,8.839,16.206
1425,1,-4.607256623332336,55.781234242136634,8.827,15.891
1425,2,-4.605156258323518,55.781234242136634,8.827,15.891
1425,3,-4.605156258323518,55.783334607145456,8.827,15.891
1425,4,-4.607256623332336,55.783334607145456,8.827,15.891
1426,1,-4.605156258323518,55.781234242136634,8.94,15.285
1426,2,-4.6030558933147,55.781234242136634,8.94,15.285
1426,3,-4.6030558933147,55.783334607145456,8.94,15.285
1426,4,-4.605156258323518,55.783334607145456,8.94,15.285
1427,1,-4.6030558933147,55.781234242136634,8.975,14.905
1427,2,-4.600955528305882,55.781234242136634,8.975,14.905
1427,3,-4.600955528305882,55.783334607145456,8.975,14.905
1427,4,-4.6030558933147,55.783334607145456,8.975,14.905
1428,1,-4.600955528305881,55.781234242136634,9.126,14.773
1428,2,-4.5988551632970625,55.781234242136634,9.126,14.773
1428,3,-4.5988551632970625,55.783334607145456,9.126,14.773
1428,4,-4.600955528305881,55.783334607145456,9.126,14.773
1429,1,-4.5988551632970625,55.781234242136634,9.155,15.176
1429,2,-4.596754798288244,55.781234242136634,9.155,15.176
1429,3,-4.596754798288244,55.783334607145456,9.155,15.176
1429,4,-4.5988551632970625,55.783334607145456,9.155,15.176
1430,1,-4.596754798288243,55.781234242136634,9.229,15.335
1430,2,-4.594654433279425,55.781234242136634,9.229,15.335
1430,3,-4.594654433279425,55.783334607145456,9.229,15.335
1430,4,-4.596754798288243,55.783334607145456,9.229,15.335
1431,1,-4.594654433279425,55.781234242136634,9.186,15.641
1431,2,-4.592554068270607,55.781234242136634,9.186,15.641
1431,3,-4.592554068270607,55.783334607145456,9.186,15.641
1431,4,-4.594654433279425,55.783334607145456,9.186,15.641
1432,1,-4.592554068270606,55.781234242136634,9.042,15.786
1432,2,-4.590453703261788,55.781234242136634,9.042,15.786
1432,3,-4.590453703261788,55.783334607145456,9.042,15.786
1432,4,-4.592554068270606,55.783334607145456,9.042,15.786
1433,1,-4.590453703261788,55.781234242136634,8.895,15.353
1433,2,-4.588353338252969,55.781234242136634,8.895,15.353
1433,3,-4.588353338252969,55.783334607145456,8.895,15.353
1433,4,-4.590453703261788,55.783334607145456,8.895,15.353
1434,1,-4.588353338252968,55.781234242136634,8.799,15.342
1434,2,-4.58625297324415,55.781234242136634,8.799,15.342
1434,3,-4.58625297324415,55.783334607145456,8.799,15.342
1434,4,-4.588353338252968,55.783334607145456,8.799,15.342
1435,1,-4.58625297324415,55.781234242136634,8.664,15.591
1435,2,-4.584152608235332,55.781234242136634,8.664,15.591
1435,3,-4.584152608235332,55.783334607145456,8.664,15.591
1435,4,-4.58625297324415,55.783334607145456,8.664,15.591
1436,1,-4.584152608235331,55.781234242136634,8.63,16.2
1436,2,-4.582052243226513,55.781234242136634,8.63,16.2
1436,3,-4.582052243226513,55.783334607145456,8.63,16.2
1436,4,-4.584152608235331,55.783334607145456,8.63,16.2
1437,1,-4.582052243226513,55.781234242136634,8.61,16.793
1437,2,-4.5799518782176944,55.781234242136634,8.61,16.793
1437,3,-4.5799518782176944,55.783334607145456,8.61,16.793
1437,4,-4.582052243226513,55.783334607145456,8.61,16.793
1438,1,-4.579951878217694,55.781234242136634,8.638,17.611
1438,2,-4.577851513208875,55.781234242136634,8.638,17.611
1438,3,-4.577851513208875,55.783334607145456,8.638,17.611
1438,4,-4.579951878217694,55.783334607145456,8.638,17.611
1439,1,-4.577851513208875,55.781234242136634,8.788,18.02
1439,2,-4.575751148200057,55.781234242136634,8.788,18.02
1439,3,-4.575751148200057,55.783334607145456,8.788,18.02
1439,4,-4.577851513208875,55.783334607145456,8.788,18.02
1440,1,-4.575751148200056,55.781234242136634,8.961,18.568
1440,2,-4.573650783191238,55.781234242136634,8.961,18.568
1440,3,-4.573650783191238,55.783334607145456,8.961,18.568
1440,4,-4.575751148200056,55.783334607145456,8.961,18.568
1441,1,-4.573650783191238,55.781234242136634,9.161,18.112
1441,2,-4.57155041818242,55.781234242136634,9.161,18.112
1441,3,-4.57155041818242,55.783334607145456,9.161,18.112
1441,4,-4.573650783191238,55.783334607145456,9.161,18.112
1442,1,-4.571550418182419,55.781234242136634,9.264,17.777
1442,2,-4.5694500531736,55.781234242136634,9.264,17.777
1442,3,-4.5694500531736,55.783334607145456,9.264,17.777
1442,4,-4.571550418182419,55.783334607145456,9.264,17.777
1443,1,-4.5694500531736,55.781234242136634,9.335,17.852
1443,2,-4.567349688164782,55.781234242136634,9.335,17.852
1443,3,-4.567349688164782,55.783334607145456,9.335,17.852
1443,4,-4.5694500531736,55.783334607145456,9.335,17.852
1444,1,-4.567349688164781,55.781234242136634,9.344,17.887
1444,2,-4.565249323155963,55.781234242136634,9.344,17.887
1444,3,-4.565249323155963,55.783334607145456,9.344,17.887
1444,4,-4.567349688164781,55.783334607145456,9.344,17.887
1445,1,-4.565249323155963,55.781234242136634,9.328,17.763
1445,2,-4.563148958147145,55.781234242136634,9.328,17.763
1445,3,-4.563148958147145,55.783334607145456,9.328,17.763
1445,4,-4.565249323155963,55.783334607145456,9.328,17.763
1446,1,-4.563148958147144,55.781234242136634,9.269,17.963
1446,2,-4.561048593138326,55.781234242136634,9.269,17.963
1446,3,-4.561048593138326,55.783334607145456,9.269,17.963
1446,4,-4.563148958147144,55.783334607145456,9.269,17.963
1447,1,-4.561048593138326,55.781234242136634,9.264,17.874
1447,2,-4.558948228129507,55.781234242136634,9.264,17.874
1447,3,-4.558948228129507,55.783334607145456,9.264,17.874
1447,4,-4.561048593138326,55.783334607145456,9.264,17.874
1448,1,-4.558948228129506,55.781234242136634,9.283,17.526
1448,2,-4.556847863120688,55.781234242136634,9.283,17.526
1448,3,-4.556847863120688,55.783334607145456,9.283,17.526
1448,4,-4.558948228129506,55.783334607145456,9.283,17.526
1449,1,-4.556847863120688,55.781234242136634,9.425,16.983
1449,2,-4.55474749811187,55.781234242136634,9.425,16.983
1449,3,-4.55474749811187,55.783334607145456,9.425,16.983
1449,4,-4.556847863120688,55.783334607145456,9.425,16.983
1450,1,-4.554747498111869,55.781234242136634,9.422,16.712
1450,2,-4.552647133103051,55.781234242136634,9.422,16.712
1450,3,-4.552647133103051,55.783334607145456,9.422,16.712
1450,4,-4.554747498111869,55.783334607145456,9.422,16.712
1451,1,-4.552647133103051,55.781234242136634,9.408,16.214
1451,2,-4.550546768094232,55.781234242136634,9.408,16.214
1451,3,-4.550546768094232,55.783334607145456,9.408,16.214
1451,4,-4.552647133103051,55.783334607145456,9.408,16.214
1452,1,-4.550546768094232,55.781234242136634,9.369,16.131
1452,2,-4.548446403085414,55.781234242136634,9.369,16.131
1452,3,-4.548446403085414,55.783334607145456,9.369,16.131
1452,4,-4.550546768094232,55.783334607145456,9.369,16.131
1453,1,-4.548446403085413,55.781234242136634,9.283,16.15
1453,2,-4.546346038076595,55.781234242136634,9.283,16.15
1453,3,-4.546346038076595,55.783334607145456,9.283,16.15
1453,4,-4.548446403085413,55.783334607145456,9.283,16.15
1454,1,-4.546346038076595,55.781234242136634,9.28,16.068
1454,2,-4.544245673067777,55.781234242136634,9.28,16.068
1454,3,-4.544245673067777,55.783334607145456,9.28,16.068
1454,4,-4.546346038076595,55.783334607145456,9.28,16.068
1455,1,-4.544245673067776,55.781234242136634,9.248,16.128
1455,2,-4.5421453080589576,55.781234242136634,9.248,16.128
1455,3,-4.5421453080589576,55.783334607145456,9.248,16.128
1455,4,-4.544245673067776,55.783334607145456,9.248,16.128
1456,1,-4.5421453080589576,55.781234242136634,9.25,16.06
1456,2,-4.540044943050139,55.781234242136634,9.25,16.06
1456,3,-4.540044943050139,55.783334607145456,9.25,16.06
1456,4,-4.5421453080589576,55.783334607145456,9.25,16.06
1457,1,-4.540044943050138,55.781234242136634,9.228,16.175
1457,2,-4.53794457804132,55.781234242136634,9.228,16.175
1457,3,-4.53794457804132,55.783334607145456,9.228,16.175
1457,4,-4.540044943050138,55.783334607145456,9.228,16.175
1458,1,-4.53794457804132,55.781234242136634,9.14,16.755
1458,2,-4.535844213032502,55.781234242136634,9.14,16.755
1458,3,-4.535844213032502,55.783334607145456,9.14,16.755
1458,4,-4.53794457804132,55.783334607145456,9.14,16.755
1459,1,-4.535844213032501,55.781234242136634,9.075,17.265
1459,2,-4.533743848023683,55.781234242136634,9.075,17.265
1459,3,-4.533743848023683,55.783334607145456,9.075,17.265
1459,4,-4.535844213032501,55.783334607145456,9.075,17.265
1460,1,-4.533743848023683,55.781234242136634,9.106,17.644
1460,2,-4.531643483014864,55.781234242136634,9.106,17.644
1460,3,-4.531643483014864,55.783334607145456,9.106,17.644
1460,4,-4.533743848023683,55.783334607145456,9.106,17.644
1461,1,-4.5316434830148635,55.781234242136634,9.044,17.528
1461,2,-4.529543118006045,55.781234242136634,9.044,17.528
1461,3,-4.529543118006045,55.783334607145456,9.044,17.528
1461,4,-4.5316434830148635,55.783334607145456,9.044,17.528
1462,1,-4.529543118006045,55.781234242136634,9.042,16.789
1462,2,-4.527442752997227,55.781234242136634,9.042,16.789
1462,3,-4.527442752997227,55.783334607145456,9.042,16.789
1462,4,-4.529543118006045,55.783334607145456,9.042,16.789
1463,1,-4.527442752997226,55.781234242136634,9.014,16.378
1463,2,-4.525342387988408,55.781234242136634,9.014,16.378
1463,3,-4.525342387988408,55.783334607145456,9.014,16.378
1463,4,-4.527442752997226,55.783334607145456,9.014,16.378
1464,1,-4.525342387988408,55.781234242136634,9.07,15.788
1464,2,-4.5232420229795895,55.781234242136634,9.07,15.788
1464,3,-4.5232420229795895,55.783334607145456,9.07,15.788
1464,4,-4.525342387988408,55.783334607145456,9.07,15.788
1465,1,-4.523242022979589,55.781234242136634,9.077,16.033
1465,2,-4.52114165797077,55.781234242136634,9.077,16.033
1465,3,-4.52114165797077,55.783334607145456,9.077,16.033
1465,4,-4.523242022979589,55.783334607145456,9.077,16.033
1466,1,-4.52114165797077,55.781234242136634,9.062,16.029
1466,2,-4.519041292961952,55.781234242136634,9.062,16.029
1466,3,-4.519041292961952,55.783334607145456,9.062,16.029
1466,4,-4.52114165797077,55.783334607145456,9.062,16.029
1467,1,-4.519041292961951,55.781234242136634,9.059,16.066
1467,2,-4.516940927953133,55.781234242136634,9.059,16.066
1467,3,-4.516940927953133,55.783334607145456,9.059,16.066
1467,4,-4.519041292961951,55.783334607145456,9.059,16.066
1468,1,-4.516940927953133,55.781234242136634,9.011,16.222
1468,2,-4.514840562944315,55.781234242136634,9.011,16.222
1468,3,-4.514840562944315,55.783334607145456,9.011,16.222
1468,4,-4.516940927953133,55.783334607145456,9.011,16.222
1469,1,-4.514840562944314,55.781234242136634,9.082,16.128
1469,2,-4.5127401979354955,55.781234242136634,9.082,16.128
1469,3,-4.5127401979354955,55.783334607145456,9.082,16.128
1469,4,-4.514840562944314,55.783334607145456,9.082,16.128
1470,1,-4.5127401979354955,55.781234242136634,9.263,15.514
1470,2,-4.510639832926677,55.781234242136634,9.263,15.514
1470,3,-4.510639832926677,55.783334607145456,9.263,15.514
1470,4,-4.5127401979354955,55.783334607145456,9.263,15.514
1471,1,-4.510639832926676,55.781234242136634,9.424,15.315
1471,2,-4.508539467917858,55.781234242136634,9.424,15.315
1471,3,-4.508539467917858,55.783334607145456,9.424,15.315
1471,4,-4.510639832926676,55.783334607145456,9.424,15.315
1472,1,-4.508539467917858,55.781234242136634,9.431,14.545
1472,2,-4.50643910290904,55.781234242136634,9.431,14.545
1472,3,-4.50643910290904,55.783334607145456,9.431,14.545
1472,4,-4.508539467917858,55.783334607145456,9.431,14.545
1473,1,-4.506439102909039,55.781234242136634,9.436,14.715
1473,2,-4.504338737900221,55.781234242136634,9.436,14.715
1473,3,-4.504338737900221,55.783334607145456,9.436,14.715
1473,4,-4.506439102909039,55.783334607145456,9.436,14.715
1474,1,-4.504338737900221,55.781234242136634,9.256,14.716
1474,2,-4.502238372891402,55.781234242136634,9.256,14.716
1474,3,-4.502238372891402,55.783334607145456,9.256,14.716
1474,4,-4.504338737900221,55.783334607145456,9.256,14.716
1475,1,-4.5022383728914015,55.781234242136634,9.042,14.75
1475,2,-4.500138007882583,55.781234242136634,9.042,14.75
1475,3,-4.500138007882583,55.783334607145456,9.042,14.75
1475,4,-4.5022383728914015,55.783334607145456,9.042,14.75
1476,1,-4.500138007882583,55.781234242136634,8.914,14.853
1476,2,-4.498037642873765,55.781234242136634,8.914,14.853
1476,3,-4.498037642873765,55.783334607145456,8.914,14.853
1476,4,-4.500138007882583,55.783334607145456,8.914,14.853
1477,1,-4.498037642873765,55.781234242136634,8.835,14.898
